65.0, 220.0, 2.1, 65000.00 
73.0, 160.0, 3.2, 48000.00 
59.0, 110.0, 2.9, 39000.00 
61.0, 120.0, 2.7, 32000.00 
75.0, 150.0, 3.7, 52000.00 
67.0, 240.0, 2.4, 78000.00 
68.0, 230.0, 2.3, 72000.00 
70.0, 220.0, 2.1, 61000.00 
62.0, 130.0, 2.6, 38000.00 
66.0, 210.0, 2.3, 74000.00 
77.0, 190.0, 3.3, 57000.00 
75.0, 180.0, 3.5, 42000.00 
74.0, 170.0, 3.8, 44000.00 
70.0, 210.0, 2.4, 63000.00 
61.0, 110.0, 2.7, 35000.00 
58.0, 100.0, 2.8, 38000.00 
66.0, 230.0, 2.1, 72000.00 
59.0, 120.0, 2.9, 37000.00 
68.0, 210.0, 2.3, 62000.00 
61.0, 130.0, 2.7, 36000.00
